time,open,high,low,close,SMA20,SMA50,SMA100,SMA2000,Regression Line,BUY,SELL,Bar Index,EMA 20,EMA 50,EMA 100,EMA 200,Basis,Upper,Lower,24H Volume,ADR,Bollinger Bands Width,EMA,%EX,hashColor,FEAR AND GREED,US Interest Rates,EU Interest Rates,UK Interest Rates,Histogram,MACD,Signal,RSI,RSI-based MA,STOCHASTIC OSCILLATOR,STOCHASTIC OSCILLATOR 2
1318809600,4.02358259963325,4.02358259963325,3.92,3.92,4.721,NaN,NaN,NaN,NaN,NaN,NaN,43,4.80688409504032,NaN,NaN,NaN,4.721,6.02356516151785,3.41843483848216,NaN,0.411000723670418,0.551817479990614,12.3151134567381,0,22.5012485720338,-0.00633356139603661,0.25,1.5,0.5,0.128573715402361,-0.914400098588422,-1.04297381399078,30.3585971249582,30.5018239370385,1.27118644067796,3.53107344632768
1319068800,3.97179129981662,3.97179129981662,2.22,2.2425,4.547625,NaN,NaN,NaN,NaN,NaN,NaN,44,4.56265703836981,NaN,NaN,NaN,4.547625,6.16299142514942,2.93225857485058,NaN,0.518010373973099,0.710422000560478,9.23633509255355,0,20.7377440055649,-0.0194191551017429,0.25,1.5,0.5,0.0247254486660964,-1.01206700315816,-1.03679245182426,20.3978236058826,29.8747970581483,0.558312655086848,2.86972003757131
1319155200,3.10714564990831,3.10714564990831,2.22,2.245,4.374625,NaN,NaN,NaN,NaN,NaN,NaN,45,4.34192779662031,NaN,NaN,NaN,4.374625,6.18631086888015,2.56293913111985,NaN,0.57356877055301,0.828270248937977,21.3661804687299,57.7557165972589,20.2515952090443,-0.14564450506551,0.25,1.5,0.5,-0.0320489988883099,-1.07685370043465,-1.04480470154634,20.4397193430474,29.2102824454856,0.620347394540941,0.816615496768582
1319414400,2.67607282495416,2.99,2.67607282495416,2.955,4.219875,NaN,NaN,NaN,NaN,NaN,NaN,46,4.20983943503742,NaN,NaN,NaN,4.219875,5.96002045009892,2.47972954990109,NaN,0.560277854484856,0.824737912899749,29.2687935119401,52.9766326415708,19.2680968847956,-0.101597983453727,0.25,1.5,0.5,-0.0111182348925163,-1.05870249516198,-1.04758426026947,31.4709207629301,29.1969925185495,18.2382133995037,6.4722911497105
1319500800,2.81553641247708,2.81553641247708,2.66,2.69,4.082875,NaN,NaN,NaN,NaN,NaN,NaN,47,4.06509282217671,NaN,NaN,NaN,4.082875,5.85156185399648,2.31418814600353,NaN,0.467816169661791,0.866392850134513,28.2354075211293,25.135249548697,18.7471773068394,0.0309512662248627,0.25,1.5,0.5,-0.00477745644818794,-1.0535560808297,-1.04877862438151,29.8095950277876,28.8166890754391,16.4232817138802,11.7606141693083
1319587200,2.75276820623854,3,2.67,2.77,3.977125,NaN,NaN,NaN,NaN,NaN,NaN,48,3.94175064863607,NaN,NaN,NaN,3.977125,5.79359635609125,2.16065364390875,NaN,0.471259668788669,0.913459524702517,21.176555640847,0,15.7470669676496,0.0541427036397966,0.25,1.5,0.5,0.0141141904305004,-1.03113588634339,-1.04525007677389,30.9938948261413,28.7109359996404,19.9662714777525,18.2092555303788
1319760000,2.76138410311927,4.36,2.76138410311927,3.675,3.91775,5.9874,NaN,NaN,NaN,NaN,NaN,49,3.91634582495645,5.9874,NaN,NaN,3.91775,5.69171300694236,2.14378699305764,NaN,0.557971839557876,0.905602964427215,23.6845776295785,31.2086435957731,25.2339159718189,0.0736577873255571,0.25,1.5,0.5,0.092499550701346,-0.929625638397205,-1.02212518909855,42.7598670003338,29.5302859028555,55.56462001302,30.6513910682175
1319846400,3.21819205155963,4.4,3.21819205155963,3.9325,3.873625,5.84805,NaN,NaN,NaN,NaN,NaN,50,3.91788431781774,5.90681568627451,NaN,NaN,3.873625,5.59936793783865,2.14788206216135,NaN,0.581774353513908,0.891022201601162,17.7634332221839,0,30.7888132632953,0.21835178552678,0.25,1.5,0.5,0.16253256532185,-0.818959482446238,-0.981492047768088,45.6019513297268,30.7570435128514,73.2060861458845,49.5789925455523
1319932800,3.57534602577982,3.85,3.2,3.6,3.810875,5.68735,NaN,NaN,NaN,NaN,NaN,51,3.88760962088272,5.81635232602845,NaN,NaN,3.810875,5.47964496242741,2.14210503757259,NaN,0.580396755190482,0.875793597232874,21.956506599485,34.5357267313883,35.7253154767095,0.361012215587763,0.25,1.5,0.5,0.185636378904319,-0.74944657413769,-0.935082953042009,42.6566979742503,31.9426493131522,60.2620087336245,63.0109049641763
1320019200,3.58767301288991,3.58767301288991,3.2,3.325,3.727875,5.51985,NaN,NaN,NaN,NaN,NaN,52,3.83402775222722,5.71865223481165,NaN,NaN,3.727875,5.31807567522939,2.13767432477061,NaN,0.570944827539761,0.85314055606982,23.5409891971644,28.2944369902025,35.7717231068398,0.312015312931433,0.25,1.5,0.5,0.181361151172234,-0.708381514076716,-0.88974266524895,40.3363073711465,32.5584307020974,50.6880733944954,61.3853894246681
1320105600,3.45633650644495,3.45633650644495,3.32,3.325,3.633,5.35235,NaN,NaN,NaN,NaN,NaN,53,3.78554891868177,5.624783519721,NaN,NaN,3.633,5.0746705587616,2.1913294412384,NaN,0.562303035562116,0.793652936284944,17.6557418978733,0,43.9700832417641,0.213261364855331,0.25,1.5,0.5,0.177285884067301,-0.668135310164824,-0.845421194232125,40.3363073711465,33.2780996973291,50.6880733944954,53.8793851742051
1320364800,3.39066825322248,3.55,3.21,3.395,3.559375,5.18625,NaN,NaN,NaN,NaN,NaN,54,3.74835378356922,5.53734102875155,NaN,NaN,3.559375,4.8872538301272,2.2314961698728,NaN,0.571684407200259,0.746130334751015,13.241806423405,0,46.89359814161,0.166675660083332,0.25,1.25,0.5,0.177612746721487,-0.623405260830266,-0.801018007551753,41.2792818422808,34.1099250581797,53.8990825688073,51.7584097859327
1320451200,3.39283412661124,3.39283412661124,3,3.105,3.4795,5.02835,NaN,NaN,NaN,NaN,NaN,55,3.68708199465787,5.44195510605541,NaN,NaN,3.4795,4.71144419516469,2.24755580483531,NaN,0.59157753063442,0.7081156460208,14.4126121603154,17.9250293710466,46.7827671335943,0.163448867008955,0.25,1.25,0.5,0.157302469993314,-0.604389920060111,-0.761692390053425,38.5602500274407,34.7475338608275,40.5963302752294,48.394495412844
1320537600,3.24891706330562,3.24891706330562,2.95,2.95,3.413,4.88735,NaN,NaN,NaN,NaN,NaN,56,3.61688370945235,5.34423137640617,NaN,NaN,3.413,4.60795250951658,2.21804749048342,NaN,0.609154835103856,0.700235868453898,16.1646878506021,21.4209149214625,50.1439397919775,0.0903684941518539,0.25,1.25,0.5,0.13337879284259,-0.594968899000187,-0.728347691842777,37.1516782680595,35.1537779910809,33.4862385321101,42.6605504587156
1320710400,3.09945853165281,3.09945853165281,3.08,3.08,3.3725,4.78895,NaN,NaN,NaN,NaN,NaN,57,3.56575192759975,5.25543798909613,NaN,NaN,3.3725,4.55488001505436,2.19011998494564,NaN,0.603145973105253,0.70118903783802,19.0635322472807,27.7600654373163,60.5795426342386,-0.00133149264899035,0.25,1.25,0.5,0.126328461937843,-0.570437114420473,-0.696765576358316,39.1590663581891,35.7823829363116,39.4495412844037,37.8440366972477
1320796800,3.0897292658264,3.3,3.0897292658264,3.195,3.31975,4.70395,NaN,NaN,NaN,NaN,NaN,58,3.5304422202093,5.17463649932765,NaN,NaN,3.31975,4.4329401230248,2.2065598769752,NaN,0.493037361273609,0.670646960177603,19.0607888270924,19.0525585665275,43.7372467991091,-0.0349537720669517,0.25,1.25,0.5,0.128978414489542,-0.53554255824639,-0.664520972735931,40.9556810513123,37.2508013252709,44.7247706422018,39.2201834862385
1320883200,3.1423646329132,3.3,2.95,3.2,3.27775,4.59855,NaN,NaN,NaN,NaN,NaN,59,3.49897153257032,5.09719977386382,NaN,NaN,3.27775,4.3413534270347,2.21414657296531,NaN,0.454669814851586,0.648983862121695,14.2955916203193,0,44.8170549289908,-0.0430554513276236,0.25,1.25,0.5,0.130255490978205,-0.501701609013174,-0.63195709999138,41.0372066458226,38.7220504183263,31.0344827586207,38.4029315617421
1320969600,3.1711823164566,3.3,3.1711823164566,3.3,3.24525,4.48675,NaN,NaN,NaN,NaN,NaN,60,3.48002186280172,5.02672135135936,NaN,NaN,3.24525,4.26345540658551,2.22704459341449,NaN,0.441447708315697,0.62750506530191,17.9607407422517,28.9561881080491,44.4812467231046,-0.0371280640113164,0.25,1.25,0.5,0.136370928338546,-0.461493439568197,-0.597864367906743,42.7400758990547,39.5269900709066,36.7816091954023,37.5136208654083
1321056000,3.2355911582283,3.35,3.2355911582283,3.35,3.21525,4.39375,NaN,NaN,NaN,NaN,NaN,61,3.46763882824917,4.96096757287468,NaN,NaN,3.21525,4.18272209262075,2.24777790737926,NaN,0.438510024693884,0.601802094780028,16.9844366719199,14.0555244609242,46.8649919048925,-0.0257460972044354,0.25,1.25,0.5,0.141696675105347,-0.420743524025059,-0.562440199130406,43.616888893386,40.5132253470208,39.3063583815029,35.7074834451753
1321142400,3.29279557911415,3.35,3.29279557911415,3.35,3.18025,4.29075,NaN,NaN,NaN,NaN,NaN,62,3.45643513032068,4.89779237393842,NaN,NaN,3.18025,4.07208644801048,2.28841355198952,NaN,0.419024626185731,0.560859333706771,12.7383275039399,0,53.5183073872978,-0.00269030639467528,0.25,1.25,0.5,0.142734436085333,-0.38402215402374,-0.526756590109073,43.616888893386,41.4148677803954,35.9215297496637,37.3364991088563
