time,SOPR,SOPR Smoothing,Upper Bollinger Band,Lower Bollinger Band,btc active adresses,btc sending adresses,btc receiving adresses,btc new adresses,btc blocks,btc blocksminted,btc meanblocksize,btc totalblocksize,btc difficulty,btc hashrate,btc totalvolume,btc totalvolume usd
1553212800,-0.167488799999997,-0.288827018320667,0.202054963590558,-0.653764303590557,699670.220362545,470869.304041348,525106.01390976,357980.594164866,567664.674063079,154.739097093619,958431.499544435,147903522.40496,2.59997314799387E+022,4.66220193101457E+019,1397468.11183058,5607671780.33758
1553299200,-0.230332799999999,-0.306110833171454,0.191166451713642,-0.656313271713641,678547.089387537,455578.885124739,511610.193198894,349197.213407618,567817.642415246,152.968352167506,936919.709658613,143160502.876786,2.5999780301768E+022,4.61452885264829E+019,1281655.86968366,5145490554.17654
1553385600,-0.253822200000002,-0.327370136231191,0.146845107393785,-0.563553507393784,656912.34586253,440797.087829332,494543.976253641,337679.538242596,567970.07106702,152.428651773414,903597.323660078,137685318.353734,2.61816384287193E+022,4.63006906125769E+019,1163896.25426514,4673591848.92335
1553472000,-0.2927682,-0.356565929643701,0.125819282966888,-0.568726802966887,667785.192069343,448104.890042181,501068.526025706,341761.80401667,568121.69450938,151.623442360066,931482.868006894,141093667.198509,2.63304314416794E+022,4.64278377739266E+019,1212460.1347999,4863414708.1498
1553558400,-0.377213400000003,-0.406042851526666,0.119228057506417,-0.584826857506417,671149.70260219,447079.091852693,505052.975839214,343841.476013639,568270.113689492,148.419180112782,981733.075180675,144868110.79878,2.64521711795559E+022,4.58045945423035E+019,1216311.79543522,4867949079.24895
1553644800,0.0800315999999945,-0.307964878521819,0.1486787817336,-0.5972930817336,691575.938492701,460098.71151584,516807.52568663,353323.207647523,568418.638473221,148.524783728639,1021350.66492818,151027516.653548,2.65517764196366E+022,4.60219409891574E+019,1230991.02155455,4939344478.25529
1553731200,-0.0186521999999978,-0.257623446063306,0.170965623733971,-0.586994343733971,705512.676948573,467960.945785687,527943.066470879,361164.988075246,568566.704205363,148.065732141614,1056975.52659753,155881415.62563,2.66332716160663E+022,4.60179517184015E+019,1270127.34517538,5113237805.91212
1553817600,0.313084199999998,-0.115908819506342,0.254129195163028,-0.627514415163028,716246.190230651,474566.592006471,534483.054385265,365271.535697928,568714.576168024,147.871962661321,1089158.40054949,160520295.693697,2.66999495040543E+022,4.60146877696013E+019,1279220.76237676,5163458178.72615
1553904000,-0.0299525999999983,-0.103911034141552,0.268068318675606,-0.608232618675606,710484.15564326,471773.757096204,530733.226315216,361277.438298305,568860.835046565,146.25887854108,1110206.00201924,161786407.203934,2.67545041396808E+022,4.5648380902401E+019,1214101.25697412,4914262397.09763
1553990400,-1.1953386,-0.447241937024906,0.409663353362421,-0.823615653362421,695118.854617213,462246.892169621,517777.003348813,352780.994971341,569005.774129008,144.939082442702,1121725.9781073,162029906.985037,2.67991397506479E+022,4.55304934656008E+019,1159729.53317161,4703019165.34378
