time,open,high,low,close,EMA20,EMA50,EMA100,EMA200,SMA20,SMA50,SMA100,SMA2000
1302096600,2343.37012,2352.25,2320.32007,2332.34009,2313.34675623471,2302.82429883996,2253.66719652932,2147.43228297665,2292.23003,2322.356016,2269.7393118,2101.82595595
1302183000,2331.73999,2346.86011,2315.83008,2332.87988,2315.20705373617,2304.00294908153,2255.23576451884,2149.27753269828,2294.659522,2322.7298148,2271.6886111,2104.11825575
1302269400,2342.73999,2345.40991,2313.45996,2321.17993,2315.77589909463,2304.67655617637,2256.54158957787,2150.98800431322,2295.755518,2322.552012,2273.5856106,2106.50120495
1302528600,2330.26001,2333.97998,2305.53003,2314.5,2315.65438489514,2305.06178926749,2257.68928087336,2152.61498934493,2296.9445195,2323.4318118,2275.7943118,2108.88110485
1302615000,2302.88989,2308.19995,2288.67993,2298.30005,2314.0015910956,2304.79662302171,2258.49345451943,2154.06459193851,2298.878516,2323.7596146,2277.7773123,2111.1926051
1302701400,2312.80005,2322.6001,2298.82007,2316.62988,2314.25190432459,2305.26067231498,2259.64467086558,2155.68215699385,2304.5615115,2323.5932132,2279.5959109,2113.9554542
1302787800,2301.27002,2315.21997,2291.79004,2311.25,2313.96600867463,2305.49554791047,2260.66655857121,2157.23009573023,2308.862012,2323.3964114,2281.3557107,2116.81600475
1302874200,2304.45996,2316.82007,2293.53003,2307.58008,2313.35782499133,2305.57729426692,2261.59553919356,2158.72611547421,2313.1875125,2323.0866116,2282.9229104,2119.6818556
1303133400,2281.91992,2293.08008,2254.87988,2292.34009,2311.35613594454,2305.05818821724,2262.20434217983,2160.05560775805,2314.6695195,2322.1694144,2284.6802102,2122.5018556
1303219800,2297,2306.77002,2286.59009,2306.77002,2310.91936299744,2305.12531887538,2263.08683084954,2161.51545265598,2317.1100225,2321.3208158,2286.1427102,2125.36230605
1303306200,2344.20996,2360.68994,2344.12012,2357.76001,2315.38037699768,2307.18942440968,2264.96154726836,2163.4681348186,2321.473023,2321.2038138,2288.1812112,2128.20250625
1303392600,2381.19995,2381.19995,2370.28003,2377.30005,2321.27748871219,2309.93886070734,2267.18607207492,2165.59581556668,2324.733521,2321.5308158,2290.5086111,2131.0974562
1303738200,2377.90991,2385.03003,2375.12012,2383.71997,2327.22439169198,2312.83223754235,2269.49367401403,2167.76620516303,2328.101514,2321.9182132,2293.17251,2133.94210585
1303824600,2389.23999,2405.22998,2384.80005,2396.03003,2333.77730962608,2316.0948960701,2271.9993444296,2170.0374870022,2332.7480105,2322.2558158,2295.5045095,2136.81710585
1303911000,2402.44995,2415.8501,2390.45996,2413.59009,2341.37852680455,2319.91823700853,2274.80312156961,2172.46089598725,2337.150513,2322.8156156,2297.7874099,2139.65990615
1303997400,2404.95996,2411.97998,2398.92993,2409.8999,2347.90437187078,2323.44692967486,2277.4783053009,2174.82347314161,2340.819507,2323.3752152,2299.9747097,2142.4423561
1304083800,2405.05005,2415.56006,2403.25,2404.08008,2353.25443931166,2326.60901400134,2279.98527113653,2177.10463340886,2344.0740115,2323.498018,2302.1174099,2145.18155655
1304343000,2410.23999,2417.83008,2397.47998,2404.23999,2358.11020604388,2329.65336600128,2282.44576061897,2179.36468670827,2347.140015,2323.6314164,2304.2663088,2148.1853566
1304429400,2401.80005,2404.12012,2377.33008,2392.80005,2361.41400070637,2332.12970655025,2284.63099407206,2181.4884216664,2350.0530155,2323.638018,2306.1883083,2151.0529567
1304515800,2392.15991,2398.45996,2367.67993,2387.51001,2363.89933492481,2334.30148315612,2286.66820230826,2183.53838771947,2353.03501,2324.931016,2308.0477077,2153.78715715
1304602200,2376.45996,2402.05005,2366.72998,2375.20996,2364.97653731292,2335.90573715,2288.42150444077,2185.44556754316,2355.1785035,2326.4164164,2309.6464064,2156.5767067
1304688600,2395.91992,2411.62988,2376.1499,2383.17993,2366.71019375931,2337.75962706569,2290.29790890729,2187.41307363725,2357.693506,2327.8138138,2311.4037062,2159.17710585
1304947800,2384.19995,2399.67993,2376.95996,2390.96997,2369.02064863938,2339.84630718076,2292.29141506754,2189.43851539211,2361.183008,2328.7074124,2313.187505,2161.7550563
1305034200,2397.19995,2414.58008,2394.84009,2411.3501,2373.05202495944,2342.6503774874,2294.64901278897,2191.64659086084,2366.025513,2329.9146146,2315.2765065,2164.3598073
1305120600,2408.1499,2415.8999,2377.42993,2393.08008,2374.95945877282,2344.62801288005,2296.59814283276,2193.65090418561,2370.7645145,2331.471016,2317.0271071,2166.8811574
1305207000,2384.13989,2410.44995,2372.18994,2407.88989,2378.09569031827,2347.10887080632,2298.80193980637,2195.78263538774,2375.327515,2333.0934134,2318.9231056,2169.55750625
1305293400,2403.06006,2406.01001,2378.76001,2379.23999,2378.20467124034,2348.36891469627,2300.39477248347,2197.60808170229,2378.7270145,2333.243013,2320.4851051,2172.15220595
1305552600,2368.46997,2375.36011,2332.84009,2337.8501,2374.36137874126,2347.95641215916,2301.13646213726,2199.00352467043,2380.2405155,2332.8008158,2321.5179054,2174.52145645
1305639000,2325.86011,2343.72998,2320.33008,2343.51001,2371.42315314685,2347.78204344704,2301.97554229296,2200.44140014635,2382.7990115,2333.1096146,2322.5939064,2176.74405655
1305725400,2340.68994,2366.3999,2337.47998,2362.94995,2370.61618141858,2348.37686331186,2303.18295630696,2202.0584006424,2385.608008,2333.6176126,2323.9207057,2179.099756
1305811800,2369.06006,2374.21997,2355.3999,2369.66992,2370.52606128348,2349.21188514276,2304.49952984543,2203.72617695442,2386.2035035,2334.5572122,2325.3188038,2181.40210585
1305898200,2365.48999,2368.98999,2348.72998,2351.42993,2368.70738211362,2349.29886729403,2305.42884469998,2205.19586603945,2384.9099975,2335.90001,2326.5589039,2183.63450575
1306157400,2318.15991,2325.86011,2306.42993,2316.78003,2363.76192000756,2348.02361877269,2305.65362064652,2206.30615622811,2381.5630005,2336.2504104,2327.4103053,2185.7040065
1306243800,2321.59009,2322.62988,2302.36011,2303.55005,2358.02745619732,2346.2795572522,2305.61196578223,2207.27375716117,2376.9390015,2336.507012,2328.1886061,2187.64590715
1306330200,2299.48999,2321.51001,2298.71997,2310.94995,2353.54388417853,2344.89408245799,2305.71766844001,2208.30536107001,2371.8069945,2337.5336086,2329.1195045,2189.70445695
1306416600,2306.43994,2332.02002,2306.11011,2325.92993,2350.91398378057,2344.15039020474,2306.11791124317,2209.47575479071,2367.608496,2339.9928078,2329.836504,2192.1072072
1306503000,2328.6499,2339.1001,2326.45996,2336.09009,2349.5021843729,2343.83430000063,2306.71141973341,2210.73559892214,2364.2089965,2342.2098098,2330.6828053,2194.62680805
1306848600,2359.05005,2372.54004,2347.22998,2372.54004,2351.69626586119,2344.96001529472,2308.01495676839,2212.34559336073,2362.623999,2345.2392092,2331.7042067,2197.395508
1306935000,2368.29004,2373.82007,2321,2322.47998,2348.91376244584,2344.07844528317,2308.30139287199,2213.4414579044,2359.1079955,2346.4348098,2332.1539064,2199.90035785
1307021400,2325.56006,2335.65991,2314.68994,2326.69995,2346.79816126052,2343.39693566422,2308.66572073591,2214.56840807451,2356.0674925,2347.8096096,2332.6539064,2202.307007
1307107800,2301.3999,2317.92993,2289.40991,2292.31006,2341.60881828333,2341.39352877543,2308.34184626589,2215.34195684988,2351.9224975,2348.2458108,2332.7332082,2204.51455705
1307367000,2288.61011,2299.3999,2273.23999,2274.47998,2335.21559558968,2338.76946803913,2307.67131426062,2215.93039489118,2346.4875,2347.4936086,2332.5907082,2206.77195695
1307453400,2279.55005,2288.76001,2268.06006,2268.95996,2328.90553505733,2336.03184027289,2306.90475279012,2216.45805225545,2340.3869995,2346.5456056,2332.231509,2208.98800675
1307539800,2264.3999,2268,2246.62012,2252.88989,2321.66594981377,2332.77137163474,2305.83515154675,2216.82055810365,2332.463989,2345.5414014,2331.7051076,2211.2109059
1307626200,2253.22998,2267.76001,2246.48999,2256.6499,2315.47394506961,2329.78621588436,2304.86118616959,2217.21686996332,2325.64248,2344.1635986,2331.0373073,2213.6178053
1307712600,2249.3999,2251.95996,2220.83008,2221.09009,2306.48500649155,2325.52362271242,2303.20235258207,2217.25540946617,2316.30249,2341.855,2329.9603078,2215.76885635
1307971800,2225.20996,2234.21997,2214.37012,2222.28003,2298.46548492092,2321.47485437076,2301.59993035272,2217.30540569039,2308.454492,2339.5208008,2329.1499074,2218.0351564
1308058200,2240.38989,2256.45996,2240.38989,2250.34009,2293.88211397608,2318.68525576798,2300.5848840091,2217.63410901685,2304.0789915,2337.6692042,2328.7925075,2220.3286574
1308144600,2229.81006,2243.21997,2204.1499,2209.01001,2285.79905645454,2314.38426573787,2298.77152016734,2217.54829708633,2297.3539915,2335.1586036,2328.1994069,2222.5133571
